dataset,regime,noise_type,noise_rate,seed,split,score_name,correctness_auroc,aurc,coverage_at_test_risk_0_05,coverage_at_test_risk_0_10,risk_at_coverage_0_10,risk_at_coverage_0_25,risk_at_coverage_0_50,risk_at_coverage_0_75,risk_at_coverage_1_00,n_examples,n_correct,accuracy,reason,run_dir
cifar10,clean,symmetric,0.0,0,test,energy,0.8996654095261983,0.009279064922977543,0.9975,1.0,0.004,0.0064,0.0056,0.007866666666666666,0.0518,10000,9482,0.9482,ok,runs/srcc_cifar10_clean_seed0
cifar10,clean,symmetric,0.0,0,test,maxlogit,0.9015663899654619,0.009169283126625814,0.9973,1.0,0.004,0.0064,0.0054,0.007466666666666667,0.0518,10000,9482,0.9482,ok,runs/srcc_cifar10_clean_seed0
cifar10,clean,symmetric,0.0,1,test,msp,0.9234633641674781,0.006547270703776518,0.9966,1.0,0.001,0.0024,0.0028,0.0052,0.052,10000,9480,0.948,ok,runs/srcc_cifar10_clean_seed1
cifar10,clean,symmetric,0.0,1,test,entropy,0.922365912041545,0.006645071115748016,0.9965,1.0,0.001,0.002,0.0028,0.0054666666666666665,0.052,10000,9480,0.948,ok,runs/srcc_cifar10_clean_seed1
cifar10,clean,symmetric,0.0,1,test,margin,0.9254629178838039,0.006345311220479393,0.9955,1.0,0.001,0.0024,0.0024,0.004933333333333333,0.052,10000,9480,0.948,ok,runs/srcc_cifar10_clean_seed1
cifar10,clean,symmetric,0.0,1,test,energy,0.8935017039922103,0.009058569056530671,0.9956,1.0,0.003,0.004,0.007,0.0092,0.052,10000,9480,0.948,ok,runs/srcc_cifar10_clean_seed1
cifar10,clean,symmetric,0.0,1,test,maxlogit,0.8952847086984745,0.00896031360511309,0.9953,1.0,0.003,0.004,0.007,0.0092,0.052,10000,9480,0.948,ok,runs/srcc_cifar10_clean_seed1
cifar10,clean,symmetric,0.0,2,test,msp,0.9273582150610926,0.006273567835491637,0.9969,1.0,0.002,0.002,0.0024,0.0038666666666666667,0.0519,10000,9481,0.9481,ok,runs/srcc_cifar10_clean_seed2
cifar10,clean,symmetric,0.0,2,test,entropy,0.9261374386538008,0.0063797910839588365,0.9972,1.0,0.002,0.002,0.0026,0.0041333333333333335,0.0519,10000,9481,0.9481,ok,runs/srcc_cifar10_clean_seed2
cifar10,clean,symmetric,0.0,2,test,margin,0.928869807356321,0.006101496643779004,0.9967,1.0,0.002,0.0016,0.002,0.0036,0.0519,10000,9481,0.9481,ok,runs/srcc_cifar10_clean_seed2
cifar10,clean,symmetric,0.0,2,test,energy,0.8974866882126488,0.009098538507032615,0.9966,1.0,0.005,0.0048,0.005,0.007466666666666667,0.0519,10000,9481,0.9481,ok,runs/srcc_cifar10_clean_seed2
cifar10,clean,symmetric,0.0,2,test,maxlogit,0.8992771060831732,0.008997992343424775,0.9968,1.0,0.005,0.0048,0.005,0.007333333333333333,0.0519,10000,9481,0.9481,ok,runs/srcc_cifar10_clean_seed2
cifar10,sym35,symmetric,0.35,0,test,msp,0.7759095806852216,0.15373557939146384,0.1361,0.3612,0.041,0.0792,0.1406,0.2276,0.324,10000,6760,0.676,ok,runs/srcc_cifar10_sym35_seed0
cifar10,sym35,symmetric,0.35,0,test,entropy,0.7759278891810943,0.15372726123737188,0.1361,0.3605,0.041,0.0804,0.1402,0.228,0.324,10000,6760,0.676,ok,runs/srcc_cifar10_sym35_seed0
cifar10,sym35,symmetric,0.35,0,test,margin,0.7730197147344583,0.15451812264782055,0.1388,0.3551,0.04,0.0784,0.142,0.22746666666666668,0.324,10000,6760,0.676,ok,runs/srcc_cifar10_sym35_seed0
cifar10,sym35,symmetric,0.35,0,test,energy,0.7526100792607202,0.16530367243478422,0.056,0.2983,0.056,0.0924,0.1588,0.23573333333333332,0.324,10000,6760,0.676,ok,runs/srcc_cifar10_sym35_seed0
cifar10,sym35,symmetric,0.35,0,test,maxlogit,0.7602653133903134,0.16248915844951797,0.056,0.3042,0.056,0.09,0.1518,0.23373333333333332,0.324,10000,6760,0.676,ok,runs/srcc_cifar10_sym35_seed0
cifar10,sym35,symmetric,0.35,1,test,msp,0.766279878691426,0.163822922024728,0.0425,0.3051,0.059,0.0852,0.1504,0.23346666666666666,0.3299,10000,6701,0.6701,ok,runs/srcc_cifar10_sym35_seed1
cifar10,sym35,symmetric,0.35,1,test,entropy,0.7657339331120088,0.16398539474391316,0.0435,0.3057,0.06,0.0876,0.1508,0.23386666666666667,0.3299,10000,6701,0.6701,ok,runs/srcc_cifar10_sym35_seed1
cifar10,sym35,symmetric,0.35,1,test,margin,0.7640001069363949,0.16453487767122216,0.0429,0.3015,0.059,0.088,0.154,0.236,0.3299,10000,6701,0.6701,ok,runs/srcc_cifar10_sym35_seed1
cifar10,sym35,symmetric,0.35,1,test,energy,0.7408154913381293,0.17672621933724003,0.0176,0.2391,0.074,0.102,0.1714,0.24613333333333334,0.3299,10000,6701,0.6701,ok,runs/srcc_cifar10_sym35_seed1
cifar10,sym35,symmetric,0.35,1,test,maxlogit,0.7486323427678767,0.17376524212414723,0.0176,0.246,0.073,0.1024,0.1668,0.24,0.3299,10000,6701,0.6701,ok,runs/srcc_cifar10_sym35_seed1
cifar10,sym35,symmetric,0.35,2,test,msp,0.7759527421941284,0.14454310987564997,0.1262,0.3915,0.047,0.072,0.1292,0.2156,0.3101,10000,6899,0.6899,ok,runs/srcc_cifar10_sym35_seed2
cifar10,sym35,symmetric,0.35,2,test,entropy,0.7750553793648336,0.1447680665016243,0.126,0.3955,0.048,0.0724,0.1304,0.21506666666666666,0.3101,10000,6899,0.6899,ok,runs/srcc_cifar10_sym35_seed2
cifar10,sym35,symmetric,0.35,2,test,margin,0.7735168494384751,0.14526056594552925,0.1191,0.3901,0.046,0.0728,0.1312,0.21613333333333334,0.3101,10000,6899,0.6899,ok,runs/srcc_cifar10_sym35_seed2
cifar10,sym35,symmetric,0.35,2,test,energy,0.7438536746091706,0.15903648093653702,0.0927,0.3126,0.054,0.0884,0.1534,0.22893333333333332,0.3101,10000,6899,0.6899,ok,runs/srcc_cifar10_sym35_seed2
cifar10,sym35,symmetric,0.35,2,test,maxlogit,0.753068868226723,0.15563263095722163,0.0926,0.3341,0.054,0.0856,0.1494,0.22386666666666666,0.3101,10000,6899,0.6899,ok,runs/srcc_cifar10_sym35_seed2
