dataset,regime,alpha,requested_budget,gamma,score_name,row_count,certification_rate,mean_certified_coverage_at_alpha,mean_cert_risk_ucb,mean_test_risk,mean_test_coverage
cifar10,sym35,0.05,2000,0.5,energy,5,0.0,0.0,0.18772997697872743,0.05317136956920403,0.031520000000000006
cifar10,sym35,0.05,2000,0.5,entropy,5,0.0,0.0,0.1649403340680692,0.0402364614070805,0.036699999999999997
cifar10,sym35,0.05,2000,0.5,margin,5,0.0,0.0,0.16715432927338875,0.03675826198331257,0.03524
cifar10,sym35,0.05,2000,0.5,maxlogit,5,0.0,0.0,0.19054382588967722,0.053485669877028706,0.032619999999999996
cifar10,sym35,0.05,2000,0.5,msp,5,0.0,0.0,0.1625124184738027,0.03937617299324609,0.03812
cifar10,sym35,0.05,2000,0.7,energy,5,0.0,0.0,0.1593562744781712,0.054188249260457844,0.053059999999999996
cifar10,sym35,0.05,2000,0.7,entropy,5,0.0,0.0,0.16230009215346897,0.03731730702676374,0.0491
cifar10,sym35,0.05,2000,0.7,margin,5,0.0,0.0,0.15384801782146965,0.03892182039045295,0.03934
cifar10,sym35,0.05,2000,0.7,maxlogit,5,0.0,0.0,0.16582297044228383,0.05468623410145538,0.0497
cifar10,sym35,0.05,2000,0.7,msp,5,0.0,0.0,0.15934548263920528,0.03649170978485177,0.04968
cifar10,sym35,0.05,2000,1.0,energy,5,0.0,0.0,0.13730169663561834,0.055619176929858606,0.07388
cifar10,sym35,0.05,2000,1.0,entropy,5,0.0,0.0,0.1220995197230097,0.045569523983454756,0.1163
cifar10,sym35,0.05,2000,1.0,margin,5,0.0,0.0,0.11603408001768314,0.048739307898242046,0.10224000000000003
cifar10,sym35,0.05,2000,1.0,maxlogit,5,0.0,0.0,0.13655659676725226,0.05594352111624079,0.07704
cifar10,sym35,0.05,2000,1.0,msp,5,0.0,0.0,0.11964358537636226,0.04467567755028514,0.11966000000000002
cifar10,sym35,0.05,250,0.5,energy,5,0.0,0.0,0.5043016318682263,0.056430124254428206,0.06772
cifar10,sym35,0.05,250,0.5,entropy,5,0.0,0.0,0.4272060560013581,0.04562668577081145,0.08196
cifar10,sym35,0.05,250,0.5,margin,5,0.0,0.0,0.42838017338198864,0.042708818522225835,0.07638
cifar10,sym35,0.05,250,0.5,maxlogit,5,0.0,0.0,0.5043016318682263,0.05787391492576619,0.06617999999999999
cifar10,sym35,0.05,250,0.5,msp,5,0.0,0.0,0.43790266602171724,0.044881431529490236,0.08073999999999999
cifar10,sym35,0.05,250,0.7,energy,5,0.0,0.0,0.5001793658706022,0.05709837105507611,0.07266
